Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
inst050,inst060,3,99,99,99
inst051,inst060,3,99,99,99
inst056,inst060,3,99,99,99
inst063,inst024,3,99,99,99
inst066,inst052,3,99,99,99
inst069,inst068,3,99,99,99
inst071,inst072,3,99,99,99
inst074,inst075,3,99,99,99
inst076,inst086,3,99,99,99
inst080,inst072,3,99,99,99
inst081,inst082,3,99,99,99
inst097,inst086,3,99,99,99
inst098,inst099,3,99,99,99
inst098,inst053,3,99,99,99
inst100,inst065,3,99,99,99
inst104,inst103,3,99,99,99
inst126,inst053,3,99,99,99
inst001,per002,6,99,99,99
inst002,per002,6,99,99,99
inst003,per002,6,99,99,99
inst004,per002,6,99,99,99
inst005,per002,6,99,99,99
inst006,per002,6,99,99,99
inst007,per002,6,99,99,99
inst008,per002,6,99,99,99
inst009,per002,6,99,99,99
inst010,per002,6,99,99,99
inst011,per002,6,99,99,99
inst012,per002,6,99,99,99
inst013,per002,6,99,99,99
inst014,per027,6,99,99,99
inst015,per027,6,99,99,99
inst016,per027,6,99,99,99
inst017,per027,6,99,99,99
inst018,per027,6,99,99,99
inst019,per028,6,99,99,99
inst020,per027,6,99,99,99
inst021,per027,6,99,99,99
inst022,per027,6,99,99,99
inst022,per068,6,99,99,99
inst023,per027,6,99,99,99
inst024,per045,6,99,99,99
inst025,per045,6,99,99,99
inst026,per045,6,99,99,99
inst027,per045,6,99,99,99
inst028,per045,6,99,99,99
inst029,per045,6,99,99,99
inst030,per045,6,99,99,99
inst031,per045,6,99,99,99
inst032,per045,6,99,99,99
inst033,per045,6,99,99,99
inst034,per045,6,99,99,99
inst035,per045,6,99,99,99
inst036,per045,6,99,99,99
inst037,per045,6,99,99,99
inst038,per045,6,99,99,99
inst039,per045,6,99,99,99
inst040,per045,6,99,99,99
inst041,per045,6,99,99,99
inst042,per045,6,99,99,99
inst043,per045,6,99,99,99
inst044,per045,6,99,99,99
inst045,per045,6,99,99,99
inst046,per045,6,99,99,99
inst047,per045,6,99,99,99
inst050,per037,6,99,99,99
inst051,per037,6,99,99,99
inst052,per037,6,99,99,99
inst053,per031,6,99,99,99
inst054,per037,6,99,99,99
inst055,per037,6,99,99,99
inst056,per037,6,99,99,99
inst057,per037,6,99,99,99
inst058,per037,6,99,99,99
inst059,per021,6,99,99,99
inst060,per021,6,99,99,99
inst060,per110,6,99,99,99
inst060,per068,6,99,99,99
inst061,per021,6,99,99,99
inst062,per012,6,99,99,99
inst063,per012,6,99,99,99
inst064,per012,6,99,99,99
inst065,per012,6,99,99,99
inst065,per102,6,99,99,99
inst066,per002,6,99,99,99
inst067,per002,6,99,99,99
inst068,per002,6,99,99,99
inst069,per002,6,99,99,99
inst070,per080,6,99,99,99
inst071,per080,6,99,99,99
inst072,per080,6,99,99,99
inst073,per080,6,99,99,99
inst074,per080,6,99,99,99
inst075,per080,6,99,99,99
inst076,per080,6,99,99,99
inst077,per080,6,99,99,99
inst078,per080,6,99,99,99
inst079,per080,6,99,99,99
inst080,per080,6,99,99,99
inst081,per080,6,99,99,99
inst082,per080,6,99,99,99
inst083,per031,6,99,99,99
